101,1,CORE_LESSON,1,1,Sight Words and CVCC Patterns,"Recognize sight words (could, light, always, around, bright) by heart; identify and read CVCC pattern words (Hand, Belt, Milk, Fast, Lamp, Best, Mask, Pink, sand).","{""keyWords"":[""could"",""light"",""always"",""around"",""bright"",""Hand"",""Belt"",""Milk"",""Fast"",""Lamp""],""patterns"":[""CVCC: Consonant-Vowel-Consonant-Consonant""],""examples"":[""Hand - H+a+n+d"",""Belt - B+e+l+t"",""Milk - M+i+l+k"",""Fast - F+a+s+t""],""rule"":""CVCC words have two consonants at the end that make a smooth blend."",""curriculumCode"":""EN3PWS-I-1, EN3PWS-I-2.1""}",phonics,30,50,1,2026-03-04 10:18:08.757
102,1,CORE_LESSON,2,1,CCVC Patterns: Clusters and Diphthongs,"Read and identify CCVC words starting with consonant clusters (Frog, Stop, Plan, Drum, Clip); recognize diphthong sounds (oi in coin).","{""keyWords"":[""Frog"",""Stop"",""Plan"",""Drum"",""Clip"",""Star"",""Coin"",""Spot"",""Grab"",""Brick"",""Skip""],""patterns"":[""CCVC: Consonant-Cluster + Vowel + Consonant""],""rule"":""CCVC words start with two consonant sounds blended together."",""diphthongs"":[""oi (coin)"",""ou (loud)""],""examples"":[""Fr-og"",""St-op"",""Pl-an"",""Dr-um""],""curriculumCode"":""EN3PWS-I-2.2""}",phonics,30,50,1,2026-03-04 10:18:08.757
103,1,CORE_LESSON,3,1,VCV and VCCV Syllable Patterns,"Divide multi-syllable words using VCV (Tiger=Ti-ger, Robot=Ro-bot) and VCCV (Rabbit=Rab-bit, Puppy=Pup-py, Muffin=Muf-fin) patterns; identify long vs short vowel sounds.","{""patterns"":[""VCV: Vowel-Consonant-Vowel (long vowel)"",""VCCV: Vowel-Consonant-Consonant-Vowel (short vowel)""],""vcvExamples"":[""Ti-ger"",""Ro-bot"",""Pa-per"",""Mu-sic"",""O-pen""],""vccvExamples"":[""Rab-bit"",""Pup-py"",""Muf-fin"",""Nap-kin"",""Kit-ten""],""rule"":""In VCV, divide after first vowel (long sound). In VCCV, divide between the two consonants (short sound)."",""curriculumCode"":""EN3PWS-I-2.3, EN3PWS-I-2.4""}",phonics,35,60,1,2026-03-04 10:18:08.757
104,1,CORE_LESSON,4,2,Q2 Sight Words in Community Sentences,"Automatically recognize and use sight words (carry, clean, drink, full, light, small, bright, wash, those, grow) in sentences about helping in the community.","{""keyWords"":[""carry"",""clean"",""drink"",""full"",""light"",""small"",""bright"",""wash"",""those"",""grow""],""theme"":""Helping in the Community"",""contextSentences"":[""We clean our yard."",""The basket is full of mangoes."",""I can carry my own school bag."",""Please wash your hands before eating.""],""curriculumCode"":""EN3PWS-II-1""}",phonics,25,50,1,2026-03-04 10:18:08.757
105,1,CORE_LESSON,5,2,VCV Pattern: The Open Syllable (Long Vowels),"Apply the VCV rule to divide words correctly: when one consonant is between two vowels, divide after the first vowel making it long (Pi-lot, Ba-sin, Si-lent, Tu-lip, Me-lon).","{""rule"":""V-C-V: Divide after the first vowel. The first vowel says its name (long sound)."",""examples"":[""Ti-ger"",""Pa-per"",""Ba-sin"",""Pi-lot"",""Si-lent"",""Tu-lip"",""Me-lon"",""Ho-tel"",""Ba-by"",""E-vil""],""theme"":""My Local Environment"",""curriculumCode"":""EN3PWS-II-2.1""}",phonics,30,55,1,2026-03-04 10:18:08.757
106,1,CORE_LESSON,6,2,VCCV Pattern: The Closed Syllable (Short Vowels),"Apply the VCCV rule: when two consonants are between two vowels, divide between them making the first vowel short (Bas-ket, Din-ner, Gar-den, Hap-pen, Mar-ket, Can-teen, Jack-et).","{""rule"":""V-CC-V: Divide between the two consonants. The first vowel is short."",""examples"":[""Bas-ket"",""Din-ner"",""Gar-den"",""Hap-pen"",""Mar-ket"",""Can-teen"",""Jack-et"",""Pup-py""],""theme"":""Regional Foods and Traditions"",""curriculumCode"":""EN3PWS-II-2.2""}",phonics,30,55,1,2026-03-04 10:18:08.757
107,1,CORE_LESSON,7,3,Narrative Sight Words: Action and Sequence,"Use action sight words (bring, carry, draw, drink, fall) correctly in narrative and sequencing contexts; identify correct spelling.","{""keyWords"":[""bring"",""carry"",""draw"",""drink"",""fall""],""theme"":""Storytelling and Sequencing"",""contextSentences"":[""Please bring your umbrella because it might rain."",""The little boy can carry a heavy box."",""I love to draw pictures of my family."",""Be careful or you might fall on the wet floor."",""Did you drink enough water after the race?""],""curriculumCode"":""EN3PWS-III-1""}",phonics,25,50,1,2026-03-04 10:18:08.757
108,1,CORE_LESSON,8,3,Descriptive and Quantity Sight Words,"Use descriptive and quantity sight words (eight, far, full, hot, light) correctly; identify antonyms (near/far, cold/hot).","{""keyWords"":[""eight"",""far"",""full"",""hot"",""light""],""theme"":""Describing the Environment"",""antonyms"":[""near-far"",""cold-hot"",""empty-full"",""dark-light""],""contextSentences"":[""There are eight pupils in the front row."",""The sun is too hot to play outside."",""The stars are very far away in the sky."",""Turn on the light so we can read.""],""curriculumCode"":""EN3PWS-III-1""}",phonics,25,50,1,2026-03-04 10:18:08.757
109,1,CORE_LESSON,9,3,Comparison and Observation Sight Words,"Use comparison sight words (better, best, both, clean, small) correctly in sentences; understand comparative/superlative forms.","{""keyWords"":[""better"",""best"",""both"",""clean"",""small""],""theme"":""Analyzing and Comparing"",""rule"":""better = comparative (comparing two); best = superlative (comparing more than two)"",""contextSentences"":[""I feel better today than yesterday."",""This is the best drawing I have made!"",""Both of my hands are clean."",""The ant is very small compared to the dog.""],""curriculumCode"":""EN3PWS-III-1""}",phonics,25,50,1,2026-03-04 10:18:08.757
110,1,CORE_LESSON,10,4,Complex Sight Words: Reasoning and Abstract,"Differentiate and use abstract sight words (together, because, should, through, thought) in complex sentence contexts.","{""keyWords"":[""together"",""because"",""should"",""through"",""thought""],""challenge"":""Differentiating between similar sounds or abstract meanings"",""contextSentences"":[""We walked through the dark tunnel."",""I thought it would rain, so I brought my umbrella."",""You should always tell the truth."",""The team won because they practiced every day."",""When we work together, the task becomes easier.""],""curriculumCode"":""EN3PWS-IV-1""}",phonics,30,60,1,2026-03-04 10:18:08.757
