101,Sight Words and CVCC Patterns,Recognize sight words and identify CVCC pattern words.,"{""keyWords"":[""could"",""light"",""always"",""around"",""bright"",""Hand"",""Belt"",""Milk"",""Fast"",""Lamp""],""patterns"":[""CVCC: Consonant-Vowel-Consonant-Consonant""],""examples"":[""Hand - H+a+n+d"",""Belt - B+e+l+t"",""Milk - M+i+l+k"",""Fast - F+a+s+t""],""rule"":""CVCC words have two consonants at the end that make a smooth blend."",""curriculumCode"":""EN3PWS-I-1, EN3PWS-I-2.1""}",0.1,3,phonics,2026-03-06 00:06:27.600,1
102,CCVC Patterns: Clusters and Diphthongs,Read CCVC words and recognize diphthong sounds.,"{""keyWords"":[""Frog"",""Stop"",""Plan"",""Drum"",""Clip"",""Star"",""Coin"",""Spot"",""Grab"",""Brick"",""Skip""],""patterns"":[""CCVC: Consonant-Cluster + Vowel + Consonant""],""rule"":""CCVC words start with two consonant sounds blended together."",""diphthongs"":[""oi (coin)"",""ou (loud)""],""examples"":[""Fr-og"",""St-op"",""Pl-an"",""Dr-um""],""curriculumCode"":""EN3PWS-I-2.2""}",0.1,3,phonics,2026-03-06 00:06:27.600,1
103,VCV and VCCV Syllable Patterns,Divide multi-syllable words using VCV and VCCV patterns.,"{""patterns"":[""VCV: Vowel-Consonant-Vowel (long vowel)"",""VCCV: Vowel-Consonant-Consonant-Vowel (short vowel)""],""vcvExamples"":[""Ti-ger"",""Ro-bot"",""Pa-per"",""Mu-sic"",""O-pen""],""vccvExamples"":[""Rab-bit"",""Pup-py"",""Muf-fin"",""Nap-kin"",""Kit-ten""],""rule"":""In VCV, divide after first vowel (long sound). In VCCV, divide between the two consonants (short sound)."",""curriculumCode"":""EN3PWS-I-2.3, EN3PWS-I-2.4""}",0.2,3,phonics,2026-03-06 00:06:27.600,1
104,Q2 Sight Words in Community Sentences,Recognize and use sight words in community-themed sentences.,"{""keyWords"":[""carry"",""clean"",""drink"",""full"",""light"",""small"",""bright"",""wash"",""those"",""grow""],""theme"":""Helping in the Community"",""contextSentences"":[""We clean our yard."",""The basket is full of mangoes."",""I can carry my own school bag."",""Please wash your hands before eating.""],""curriculumCode"":""EN3PWS-II-1""}",0.3,3,phonics,2026-03-06 00:06:27.600,1
105,VCV Pattern: The Open Syllable,Apply the VCV rule to divide words and identify long vowels.,"{""rule"":""V-C-V: Divide after the first vowel. The first vowel says its name (long sound)."",""examples"":[""Ti-ger"",""Pa-per"",""Ba-sin"",""Pi-lot"",""Si-lent"",""Tu-lip"",""Me-lon"",""Ho-tel"",""Ba-by"",""E-vil""],""theme"":""My Local Environment"",""curriculumCode"":""EN3PWS-II-2.1""}",0.3,3,phonics,2026-03-06 00:06:27.600,1
106,VCCV Pattern: The Closed Syllable,Apply the VCCV rule to divide words and identify short vowels.,"{""rule"":""V-CC-V: Divide between the two consonants. The first vowel is short."",""examples"":[""Bas-ket"",""Din-ner"",""Gar-den"",""Hap-pen"",""Mar-ket"",""Can-teen"",""Jack-et"",""Pup-py""],""theme"":""Regional Foods and Traditions"",""curriculumCode"":""EN3PWS-II-2.2""}",0.3,3,phonics,2026-03-06 00:06:27.600,1
107,Narrative Sight Words: Action and Sequence,Use action sight words correctly in narrative contexts.,"{""keyWords"":[""bring"",""carry"",""draw"",""drink"",""fall""],""theme"":""Storytelling and Sequencing"",""contextSentences"":[""Please bring your umbrella because it might rain."",""The little boy can carry a heavy box."",""I love to draw pictures of my family."",""Be careful or you might fall on the wet floor."",""Did you drink enough water after the race?""],""curriculumCode"":""EN3PWS-III-1""}",0.5,3,phonics,2026-03-06 00:06:27.600,1
108,Descriptive and Quantity Sight Words,Use descriptive and quantity sight words correctly.,"{""keyWords"":[""eight"",""far"",""full"",""hot"",""light""],""theme"":""Describing the Environment"",""antonyms"":[""near-far"",""cold-hot"",""empty-full"",""dark-light""],""contextSentences"":[""There are eight pupils in the front row."",""The sun is too hot to play outside."",""The stars are very far away in the sky."",""Turn on the light so we can read.""],""curriculumCode"":""EN3PWS-III-1""}",0.5,3,phonics,2026-03-06 00:06:27.600,1
109,Comparison and Observation Sight Words,Use comparison sight words in sentences.,"{""keyWords"":[""better"",""best"",""both"",""clean"",""small""],""theme"":""Analyzing and Comparing"",""rule"":""better = comparative (comparing two); best = superlative (comparing more than two)"",""contextSentences"":[""I feel better today than yesterday."",""This is the best drawing I have made!"",""Both of my hands are clean."",""The ant is very small compared to the dog.""],""curriculumCode"":""EN3PWS-III-1""}",0.5,3,phonics,2026-03-06 00:06:27.600,1
110,Complex Sight Words: Reasoning and Abstract,Differentiate and use abstract sight words in complex sentences.,"{""keyWords"":[""together"",""because"",""should"",""through"",""thought""],""challenge"":""Differentiating between similar sounds or abstract meanings"",""contextSentences"":[""We walked through the dark tunnel."",""I thought it would rain, so I brought my umbrella."",""You should always tell the truth."",""The team won because they practiced every day."",""When we work together, the task becomes easier.""],""curriculumCode"":""EN3PWS-IV-1""}",0.6,3,phonics,2026-03-06 00:06:27.600,1
111,"Words of Quantity, Time, and Comparison",Use quantity and comparison words logically.,"{""keyWords"":[""enough"",""several"",""always"",""better"",""against""],""definitions"":{""enough"":""sufficient amount"",""several"":""more than two but not many"",""always"":""at all times"",""better"":""improved or superior"",""against"":""in opposition to""},""contextSentences"":[""Do we have enough rice for all the guests?"",""There are several ways to solve this problem."",""It is always better to be early than late.""],""curriculumCode"":""EN3PWS-IV-1""}",0.6,3,phonics,2026-03-06 00:06:27.600,1
112,Abstract Sight Words and Spatial Directions,Use directional and abstract sight words.,"{""keyWords"":[""different"",""toward"",""across"",""carry"",""between""],""definitions"":{""different"":""not the same"",""toward"":""in the direction of"",""across"":""from one side to the other"",""between"":""in the middle of two things""},""contextSentences"":[""The two brothers are very different in hobbies."",""The cat ran across the street."",""Walk toward the big tree, then turn left."",""The secret is hidden between the two old boxes.""],""curriculumCode"":""EN3PWS-IV-1""}",0.6,3,phonics,2026-03-06 00:06:27.600,1
113,Phonics and Word Study: Final Assessment,Demonstrate mastery of all phonics concepts.,"{""type"":""cumulative"",""quarters"":[""Q1: CVCC/CCVC word patterns and diphthongs"",""Q2: VCV/VCCV syllable division rules"",""Q3: Narrative and descriptive sight words"",""Q4: Abstract and directional sight words""],""totalItems"":20}",0.8,3,phonics,2026-03-06 00:06:27.600,1
201,High-Frequency Words,Identify and read high-frequency words accurately.,"{""keyWords"":[""the"",""is"",""are"",""we"",""she"",""he"",""they"",""like"",""go"",""see"",""because"",""their"",""have""],""rule"":""High-frequency words appear often in texts and cannot always be sounded out phonetically. We must remember them."",""examples"":[""The cat is sleeping."",""I like to play."",""We went to the park."",""She is happy."",""They are my friends.""],""curriculumCode"":""EN3VWK-I-1""}",0.1,3,vocabulary,2026-03-06 00:06:27.600,1
202,Regional and National Theme Vocabulary,Use vocabulary words related to regional and national themes.,"{""themeWords"":[""barangay"",""fiesta"",""palengke"",""jeepney"",""farmer"",""rice field"",""island"",""mountain"",""flag"",""hero"",""festival"",""province""],""contextSentences"":[""We celebrate a fiesta in our barangay."",""My mother buys fish in the palengke."",""The farmer works in the rice field.""],""curriculumCode"":""EN3VWK-I-2"",""theme"":""Regional and National Themes""}",0.1,3,vocabulary,2026-03-06 00:06:27.600,1
203,Content-Specific Words: Math and Science,Use content-specific vocabulary for Math and Science.,"{""mathWords"":[""sum"",""difference"",""product"",""quotient"",""addition"",""subtraction""],""scienceWords"":[""plant"",""animal"",""water"",""air"",""sun"",""soil"",""energy"",""experiment""],""examples"":{""math"":[""The sum of 7 and 5 is 12."",""The difference of 10 and 6 is 4.""],""science"":[""A plant grows in soil."",""Animals need water to survive.""]}}",0.2,3,vocabulary,2026-03-06 00:06:27.600,1
204,Naming Words: Common and Proper Nouns,Identify and classify common and proper nouns.,"{""nounTypes"":{""common"":[""boy"",""school"",""cat"",""park"",""teacher"",""dog"",""city"",""month""],""proper"":[""Juan"",""Manila"",""Christmas"",""Rizal Park"",""Cebu City"",""Maria"",""Monday"",""Ateneo""]},""gender"":{""masculine"":[""father"",""uncle"",""king"",""hero"",""boy""],""feminine"":[""mother"",""aunt"",""queen"",""grandmother"",""princess""],""neutral"":[""student"",""child"",""teacher"",""person""]},""curriculumCode"":""EN2VWK-IV-4""}",0.3,3,vocabulary,2026-03-06 00:06:27.600,1
205,Action Words: Verbs,Identify and use verbs correctly in sentences.,"{""definition"":""Verbs tell what a person, animal, or thing is doing."",""examples"":[""The boy runs fast."",""The cat jumps on the chair."",""Maria reads a book."",""She drinks water.""],""rule"":""For singular subjects (he, she, it), add -s/-es to the verb."",""verbList"":[""run"",""jump"",""eat"",""play"",""read"",""wash"",""explain"",""drink"",""cry"",""study"",""write"",""sing""],""curriculumCode"":""EN2VWK-IV-4.2""}",0.3,3,vocabulary,2026-03-06 00:06:27.600,1
206,Describing Words: Adjectives,Identify and use adjectives to describe nouns.,"{""definition"":""An adjective describes a person, place, thing, animal, event, idea, or emotion."",""examples"":[""The happy boy plays outside."",""The tall building touches the sky."",""The noisy dog barks loudly."",""The red apple is sweet.""],""adjectives"":[""happy"",""tall"",""small"",""beautiful"",""noisy"",""exciting"",""sad"",""colorful"",""big"",""red"",""blue"",""square"",""many"",""soft""],""curriculumCode"":""EN2VWK-IV-4.3""}",0.3,3,vocabulary,2026-03-06 00:06:27.600,1
